epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.914,1.79967,2.70739,1.93484,0.1889,0.2604,0.16335,0.06555,2.0016,2.9433,2.09542,0.000370015,0.000370015,0.000370015
2,318.526,1.76935,2.57027,1.9309,0.3727,0.35998,0.30597,0.14079,1.88066,2.32583,2.02456,0.000667054,0.000667054,0.000667054
3,511.701,1.73232,2.50303,1.9045,0.4213,0.40456,0.35076,0.17742,1.82483,2.16955,1.92526,0.000890766,0.000890766,0.000890766
4,681,1.68848,2.44176,1.88116,0.42354,0.43104,0.36661,0.18893,1.82638,2.03964,1.9315,0.000781033,0.000781033,0.000781033
5,870.006,1.63991,2.34483,1.84348,0.47257,0.4542,0.40688,0.22127,1.72614,2.05727,1.83282,0.000671044,0.000671044,0.000671044
6,1022.91,1.60709,2.28246,1.82019,0.49503,0.48509,0.45208,0.2306,1.68817,1.86923,1.81838,0.000561055,0.000561055,0.000561055
7,1176.79,1.56078,2.20623,1.79003,0.58941,0.46979,0.51366,0.27106,1.69472,1.79979,1.79524,0.000451066,0.000451066,0.000451066
8,1356.61,1.52383,2.13066,1.76413,0.561,0.4767,0.48886,0.27703,1.64771,1.74714,1.78066,0.000341077,0.000341077,0.000341077
9,1504.89,1.49318,2.06797,1.74447,0.56554,0.55068,0.52679,0.30339,1.58692,1.72447,1.76375,0.000231088,0.000231088,0.000231088
10,1692.79,1.46346,1.99612,1.7271,0.63372,0.52628,0.56184,0.33065,1.573,1.6517,1.74812,0.000121099,0.000121099,0.000121099
